club_id,team,position,points,squad,avg_age,foreigners,avg_market_value,total_market_value,league
27,Bayern Munich,1,77,38,25.2,20,€20.80m,€790.33m,bundesliga
16,Dortmund,2,69,44,24.5,25,€12.70m,€558.98m,bundesliga
15,Leverkusen,3,64,35,25.1,25,€13.00m,€455.05m,bundesliga
23826,Leipzig,4,58,34,24.3,23,€14.68m,€498.95m,bundesliga
89,Union Berlin,5,57,40,27.1,15,€2.90m,€115.90m,bundesliga
60,Freiburg,6,55,32,25.5,12,€5.51m,€176.35m,bundesliga
3,1.FC Köln,7,52,31,25.8,13,€3.20m,€99.28m,bundesliga
39,Mainz,8,46,34,25.5,18,€3.85m,€131.03m,bundesliga
533,Hoffenheim,9,46,40,25.3,22,€5.29m,€211.43m,bundesliga
18,Mönchengladbach,10,45,31,25.8,14,€7.64m,€236.80m,bundesliga
24,Frankfurt,11,42,36,25.7,23,€6.35m,€228.75m,bundesliga
82,Wolfsburg,12,42,37,25.7,24,€7.28m,€269.30m,bundesliga
80,VfL Bochum,13,42,33,27.7,17,€1.58m,€52.25m,bundesliga
167,Augsburg,14,38,32,26.0,20,€2.98m,€95.30m,bundesliga
79,Stuttgart,15,33,39,24.0,23,€4.47m,€174.23m,bundesliga
44,Hertha BSC,16,33,45,25.2,22,€3.46m,€155.78m,bundesliga
10,Arm. Bielefeld,17,28,34,25.1,20,€1.94m,€65.85m,bundesliga
65,Greuther Fürth,18,18,34,25.1,16,€1.09m,€36.95m,bundesliga
418,Real Madrid,1,86,36,26.3,19,€21.41m,€770.75m,laliga
131,Barcelona,2,73,47,25.5,24,€15.65m,€735.60m,laliga
13,Atlético,3,71,43,25.7,24,€15.39m,€661.80m,laliga
368,Sevilla FC,4,70,43,26.2,21,€8.95m,€385.00m,laliga
150,Real Betis,5,65,38,27.9,13,€6.82m,€259.00m,laliga
681,Real Sociedad,6,62,40,25.2,7,€9.42m,€376.95m,laliga
1050,Villarreal,7,59,39,26.5,15,€10.48m,€408.90m,laliga
621,Athletic Club,8,55,31,26.2,1,€7.29m,€226.05m,laliga
1049,Valencia,9,48,44,24.1,20,€7.06m,€310.60m,laliga
331,CA Osasuna,10,47,32,27.4,3,€3.39m,€108.45m,laliga
940,Celta de Vigo,11,46,34,26.0,11,€3.53m,€120.00m,laliga
367,Rayo Vallecano,12,42,36,26.7,14,€1.87m,€67.20m,laliga
1531,Elche CF,13,42,37,27.9,14,€1.97m,€72.98m,laliga
