team_name,Liga,Temporada,xG,xAG,Save_Porcentaje,CS_Porcentaje,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Total cmp% ,Total cmp ,Total att ,TotDist
Bayern Munich,GER-Bundesliga,2023,81.3,65.9,78.4,32.4,147.3,2050,87.1,19987,22946,340799
VfL Bochum,GER-Bundesliga,2023,41.8,33.5,65.6,8.8,71.8,1151,68.9,9786,14203,185281
Darmstadt 98,GER-Bundesliga,2023,32.3,22.8,60.5,8.8,52.8,873,77,11807,15336,223927
Dortmund,GER-Bundesliga,2023,58.8,45.6,73.8,29.4,104.4,1452,84.1,17191,20445,300426
Frankfurt,GER-Bundesliga,2023,46.2,41.4,71.9,20.6,78.5,1305,79.8,15017,18809,260025
Freiburg,GER-Bundesliga,2023,45.4,32.4,70.5,29.4,74.8,1208,77,12337,16023,223388
Mönchengladbach,GER-Bundesliga,2023,41.8,35.5,70.5,11.8,77.4,1317,79.9,13544,16946,232267
Heidenheim,GER-Bundesliga,2023,39.4,27.5,72.4,17.6,64.5,1099,71.6,10264,14339,206040
Hoffenheim,GER-Bundesliga,2023,53.6,39,69.7,5.9,88.9,1269,79,13457,17038,240505
1.FC Köln,GER-Bundesliga,2023,39.3,34.7,66.1,11.8,61.9,1086,75.9,11704,15411,209861
Leverkusen,GER-Bundesliga,2023,73.6,55.2,77.1,47.1,122.8,1997,87.2,21192,24301,322890
Mainz,GER-Bundesliga,2023,40.7,32,71.3,23.5,72.7,1169,72.6,10974,15120,201446
Leipzig,GER-Bundesliga,2023,60.7,47.7,70.1,29.4,107.9,1541,83,16254,19590,282017
Stuttgart,GER-Bundesliga,2023,64.6,53.3,72.1,35.3,117.9,1718,85.5,19201,22456,312129
Union Berlin,GER-Bundesliga,2023,40.1,35.3,68.5,20.6,60.3,1146,74.4,11004,14784,204399
Werder Bremen,GER-Bundesliga,2023,42,35.6,71.1,20.6,77.6,1344,78.1,12821,16418,237961
Wolfsburg,GER-Bundesliga,2023,39.2,27.5,64.2,17.6,78.6,1235,78.8,13092,16624,232194
Augsburg,GER-Bundesliga,2022,30.9,24.3,69.2,17.6,331,847,66.1,8422,12742,169408
Bayern Munich,GER-Bundesliga,2022,56.6,48,72.9,32.4,127.7,2041,85.4,19404,22716,335478
VfL Bochum,GER-Bundesliga,2022,37.7,28.4,68,14.7,350,1022,68,9209,13549,185905
Dortmund,GER-Bundesliga,2022,66.5,51.9,71.5,35.3,118.4,1628,82.7,16445,19889,290786
Frankfurt,GER-Bundesliga,2022,47.4,36.2,63,17.6,83.2,1372,77.5,13930,17975,240605
Freiburg,GER-Bundesliga,2022,41.6,28.5,74,38.2,70.1,1039,75,11653,15533,224503
Mönchengladbach,GER-Bundesliga,2022,41.5,39.9,72.6,26.5,59.2,1153,82.3,15516,18854,267610
Hertha BSC,GER-Bundesliga,2022,39.4,25.3,62.4,8.8,41.3,914,69.3,8876,12800,165190
Hoffenheim,GER-Bundesliga,2022,41.1,32.4,65.8,14.7,73.4,1175,75.5,11754,15564,218184
1.FC Köln,GER-Bundesliga,2022,47.9,34.7,61.2,17.6,79.9,1247,74.8,12242,16367,229690
Leverkusen,GER-Bundesliga,2022,46,38.9,71.2,26.5,75.3,1243,80.6,14683,18206,247352
Mainz,GER-Bundesliga,2022,42.4,30,66.7,20.6,72.4,1159,69.5,10075,14492,186572
Leipzig,GER-Bundesliga,2022,39.6,28.7,67.9,29.4,62.7,993,82.4,16911,20529,297606
FC Schalke 04,GER-Bundesliga,2022,43.2,37.8,65.8,20.6,64.6,934,69.1,9234,13360,182759
Stuttgart,GER-Bundesliga,2022,47.6,38.1,65.1,5.9,81.7,1278,79.2,13460,16987,253792
Union Berlin,GER-Bundesliga,2022,37.9,25.9,78.5,38.2,58.4,1012,71.5,10312,14418,197596
Werder Bremen,GER-Bundesliga,2022,36.4,29,66.3,11.8,65.4,1140,75.2,12443,16554,236998
Wolfsburg,GER-Bundesliga,2022,45.8,39.2,70.1,35.3,85.5,1306,77.9,12571,16129,245765
Arm. Bielefeld,GER-Bundesliga,2021,26.3,17.2,74.4,20.6,405,887,69.4,9382,13511,182069
Augsburg,GER-Bundesliga,2021,23.9,24.7,67.3,26.5,441,895,70.4,9181,13035,181255
Bayern Munich,GER-Bundesliga,2021,85.1,66.7,68.8,32.4,833,2164,84.5,20087,23780,342875
VfL Bochum,GER-Bundesliga,2021,35.9,26.7,68.8,20.6,467,926,70.4,9624,13679,200296
Dortmund,GER-Bundesliga,2021,55.9,45,66.2,20.6,678,1468,82.7,17410,21052,292376
Frankfurt,GER-Bundesliga,2021,41.6,32,72.7,14.7,609,1255,74.2,12628,17023,229563
Freiburg,GER-Bundesliga,2021,45.7,34.5,72.7,29.4,802,1229,74.4,11641,15652,219063
