club_id,team,position,points,squad,avg_age,foreigners,avg_market_value,total_market_value,league
27,Bayern Munich,1,82,43,24.6,22,€22.18m,€953.55m,bundesliga
15,Leverkusen,2,69,34,25.1,25,€18.33m,€623.35m,bundesliga
24,Frankfurt,3,60,33,24.6,24,€13.07m,€431.25m,bundesliga
16,Dortmund,4,57,43,24.1,24,€11.82m,€508.28m,bundesliga
60,Freiburg,5,55,31,27.2,13,€6.01m,€186.20m,bundesliga
39,Mainz,6,52,30,27.2,14,€5.84m,€175.13m,bundesliga
23826,Leipzig,7,51,37,23.9,23,€13.88m,€513.70m,bundesliga
86,Werder Bremen,8,51,33,25.9,17,€4.00m,€132.00m,bundesliga
79,Stuttgart,9,50,39,24.2,18,€9.36m,€365.23m,bundesliga
18,Mönchengladbach,10,45,31,25.7,17,€6.05m,€187.50m,bundesliga
82,Wolfsburg,11,43,39,25.5,25,€7.60m,€296.30m,bundesliga
167,Augsburg,12,43,36,26.0,20,€4.41m,€158.88m,bundesliga
89,Union Berlin,13,40,31,27.9,17,€4.39m,€136.05m,bundesliga
35,St. Pauli,14,32,38,26.5,21,€1.73m,€65.78m,bundesliga
533,Hoffenheim,15,32,48,25.1,27,€3.90m,€187.10m,bundesliga
2036,Heidenheim,16,29,31,27.2,6,€2.34m,€72.53m,bundesliga
269,Holstein Kiel,17,25,30,26.6,12,€1.57m,€47.13m,bundesliga
80,VfL Bochum,18,25,33,27.0,16,€1.73m,€57.10m,bundesliga
131,Barcelona,1,88,39,23.3,11,€27.76m,€1.08bn,laliga
418,Real Madrid,2,84,42,24.4,19,€32.11m,€1.35bn,laliga
13,Atlético,3,76,41,26.5,22,€13.23m,€542.50m,laliga
621,Athletic Club,4,70,37,26.1,4,€10.14m,€375.35m,laliga
1050,Villarreal,5,70,36,26.2,16,€7.34m,€264.25m,laliga
150,Real Betis,6,60,46,26.0,19,€6.34m,€291.70m,laliga
940,Celta de Vigo,7,55,36,26.3,12,€3.64m,€130.90m,laliga
367,Rayo Vallecano,8,52,34,28.3,11,€2.00m,€68.00m,laliga
331,CA Osasuna,9,52,34,26.7,4,€3.33m,€113.28m,laliga
237,RCD Mallorca,10,48,31,27.6,13,€2.74m,€84.88m,laliga
681,Real Sociedad,11,46,39,24.6,9,€8.85m,€345.05m,laliga
1049,Valencia,12,46,44,24.5,13,€4.90m,€215.55m,laliga
3709,Getafe,13,42,37,25.4,15,€2.37m,€87.70m,laliga
714,Espanyol,14,42,37,25.6,10,€3.16m,€116.98m,laliga
1108,Alavés,15,42,37,25.8,15,€2.50m,€92.35m,laliga
12321,Girona,16,41,46,25.1,22,€3.33m,€153.10m,laliga
368,Sevilla FC,17,41,44,25.2,19,€4.18m,€183.90m,laliga
1244,CD Leganés,18,40,40,26.1,16,€1.20m,€47.98m,laliga
472,UD Las Palmas,19,32,42,25.4,15,€2.79m,€117.30m,laliga
366,Real Valladolid,20,16,43,25.4,23,€1.89m,€81.45m,laliga
31,Liverpool,1,84,35,24.7,21,€27.17m,€950.95m,premier_league
11,Arsenal,2,74,42,24.5,26,€27.58m,€1.16bn,premier_league
281,Man City,3,71,44,25.6,27,€30.86m,€1.36bn,premier_league
631,Chelsea,4,69,58,22.4,30,€20.59m,€1.19bn,premier_league
762,Newcastle,5,66,36,27.5,15,€18.82m,€677.53m,premier_league
