club_id,team,position,points,squad,avg_age,foreigners,avg_market_value,total_market_value,league
27,Bayern Munich,1,71,35,25.7,22,€27.11m,€948.95m,bundesliga
16,Dortmund,2,71,37,25.1,19,€15.34m,€567.55m,bundesliga
23826,Leipzig,3,66,29,26.0,19,€16.77m,€486.40m,bundesliga
89,Union Berlin,4,62,36,27.4,17,€4.39m,€157.95m,bundesliga
60,Freiburg,5,59,29,26.5,11,€6.93m,€200.95m,bundesliga
15,Leverkusen,6,50,35,24.8,25,€12.93m,€452.50m,bundesliga
24,Frankfurt,7,50,36,25.6,22,€9.02m,€324.55m,bundesliga
82,Wolfsburg,8,49,33,25.1,20,€7.22m,€238.30m,bundesliga
39,Mainz,9,46,34,25.2,17,€3.99m,€135.80m,bundesliga
18,Mönchengladbach,10,43,35,25.9,16,€6.91m,€241.68m,bundesliga
3,1.FC Köln,11,42,39,25.4,16,€2.97m,€115.65m,bundesliga
533,Hoffenheim,12,36,37,26.2,22,€4.83m,€178.80m,bundesliga
86,Werder Bremen,13,36,33,25.2,12,€2.71m,€89.50m,bundesliga
80,VfL Bochum,14,35,32,28.3,18,€1.68m,€53.70m,bundesliga
167,Augsburg,15,34,42,25.6,25,€3.15m,€132.23m,bundesliga
79,Stuttgart,16,33,39,23.7,23,€3.87m,€151.05m,bundesliga
33,FC Schalke 04,17,31,43,26.9,22,€2.04m,€87.78m,bundesliga
44,Hertha BSC,18,29,41,25.8,24,€2.29m,€94.00m,bundesliga
131,Barcelona,1,88,41,24.4,14,€20.41m,€836.80m,laliga
418,Real Madrid,2,78,36,25.9,20,€25.65m,€923.45m,laliga
13,Atlético,3,77,40,25.8,22,€13.36m,€534.30m,laliga
681,Real Sociedad,4,71,37,25.0,6,€11.94m,€441.70m,laliga
1050,Villarreal,5,64,43,26.4,15,€8.45m,€363.50m,laliga
150,Real Betis,6,60,38,27.6,13,€6.48m,€246.40m,laliga
331,CA Osasuna,7,53,31,27.2,4,€4.84m,€150.05m,laliga
621,Athletic Club,8,51,31,27.1,1,€7.18m,€222.45m,laliga
237,RCD Mallorca,9,50,38,26.9,19,€2.82m,€107.00m,laliga
12321,Girona,10,49,37,25.6,13,€3.78m,€139.90m,laliga
368,Sevilla FC,11,49,42,26.8,23,€5.54m,€232.58m,laliga
367,Rayo Vallecano,12,49,29,28.7,10,€3.57m,€103.40m,laliga
940,Celta de Vigo,13,43,36,25.7,12,€3.86m,€138.80m,laliga
1049,Valencia,14,42,40,24.5,18,€6.24m,€249.78m,laliga
3709,Getafe,15,42,34,26.5,14,€3.50m,€118.90m,laliga
2687,Cádiz CF,16,42,47,27.3,17,€1.40m,€65.60m,laliga
3302,UD Almería,17,41,36,25.9,18,€3.17m,€114.20m,laliga
366,Real Valladolid,18,40,41,26.8,18,€2.21m,€90.75m,laliga
714,Espanyol,19,37,37,25.9,11,€3.15m,€116.50m,laliga
1531,Elche CF,20,25,40,27.0,17,€1.69m,€67.50m,laliga
281,Man City,1,89,34,26.0,21,€33.70m,€1.15bn,premier_league
11,Arsenal,2,84,42,24.0,25,€23.83m,€1.00bn,premier_league
985,Man Utd,3,75,48,25.4,30,€17.66m,€847.75m,premier_league
762,Newcastle,4,71,38,28.3,22,€14.25m,€541.60m,premier_league
31,Liverpool,5,67,39,25.6,24,€20.82m,€811.85m,premier_league
1237,Brighton,6,62,42,24.1,28,€12.61m,€529.80m,premier_league
