club_id,team_name,Liga,Temporada,xG,xAG,PrgC_Conducciones_Progresivas,PrgP_Pases_Progresivos,Save_Porcentaje,CS_Porcentaje,Total_Cmp_Porcentaje,Total_Pases_Completados,Total_Pases_Intentados,Total_Distancia_Pases
1001,Alavés,ESP-La Liga,2025,10.9,9.7,188,422,73.2,15.4,78.5,4899,6241,84458
1002,Athletic Club,ESP-La Liga,2025,16,13.6,207,543,64.6,23.1,78.9,4804,6087,86323
1003,Atlético,ESP-La Liga,2025,23.7,21.6,269,607,71.4,38.5,83.6,6145,7351,108582
1004,Barcelona,ESP-La Liga,2025,25.5,20,269,682,72.3,30.8,88,7757,8816,123242
1005,Real Betis,ESP-La Liga,2025,18.8,16.1,251,546,70.2,23.1,83.7,5944,7100,97920
1006,Celta de Vigo,ESP-La Liga,2025,15.9,14.4,280,528,73.8,22.1,84.2,6027,7158,105966
1007,Elche CF,ESP-La Liga,2025,14.6,13.8,250,493,73.1,23.1,85.1,6312,7414,101999
1008,Espanyol,ESP-La Liga,2025,19.2,16.3,225,462,74.1,30.8,77.5,4120,5313,73856
1009,Getafe,ESP-La Liga,2025,9.2,6.3,155,330,74.5,23.1,67.3,3003,4464,57613
1010,Girona,ESP-La Liga,2025,14.4,12.1,219,467,70.3,19.3,81.7,4867,5957,83818
1011,Levante,ESP-La Liga,2025,17.4,16.1,167,334,68.1,15.4,75.7,3620,4780,66808
1012,RCD Mallorca,ESP-La Liga,2025,12.4,11.6,204,377,71.9,15.4,77.8,4270,5485,80827
1013,CA Osasuna,ESP-La Liga,2025,14.3,11.9,212,379,78.5,23.1,78.1,4467,5719,77770
1014,Real Oviedo,ESP-La Liga,2025,10.5,8.9,175,355,79.1,23.1,80.2,4402,5486,83255
1015,Rayo Vallecano,ESP-La Liga,2025,18.6,17,223,493,76.9,38.5,81.1,5178,6385,94818
1016,Real Madrid,ESP-La Liga,2025,26.1,21.8,279,795,73,46.2,87.6,7048,8042,119415
1017,Real Sociedad,ESP-La Liga,2025,15.8,13.2,218,477,62.2,7.7,79,4867,6157,85860
1018,Sevilla FC,ESP-La Liga,2025,12.9,11.7,227,427,73,23.1,79.6,4844,6082,90269
1019,Valencia,ESP-La Liga,2025,14,13.2,234,383,68.3,30.8,79.8,4685,5869,83956
1020,Villarreal,ESP-La Liga,2025,22.8,22,283,516,78.6,28.3,83.4,5167,6194,89084
1001,Alavés,ESP-La Liga,2024,42.8,34.1,1160,1576,72,23.7,71.4,10534,14746,199550
1002,Athletic Club,ESP-La Liga,2024,48.2,36.7,1579,1650,77,39.5,78.6,13665,17375,253362
1003,Atlético,ESP-La Liga,2024,59.3,47.9,1594,1760,78.4,44.7,83.2,17826,21418,295213
1004,Barcelona,ESP-La Liga,2024,85.2,67.5,2212,2232,67.6,34.2,86.8,22321,25721,371914
1005,Real Betis,ESP-La Liga,2024,47.5,37.5,1486,1798,67.4,18.4,81.8,15770,19284,264738
1006,Celta de Vigo,ESP-La Liga,2024,54.2,47.3,1652,1709,64.2,21.1,83.7,17798,21253,312877
1007,Espanyol,ESP-La Liga,2024,34.4,30.5,1097,1444,75.5,21.1,75.6,10580,13996,199624
1008,Getafe,ESP-La Liga,2024,33,23.9,981,1144,75.4,23.7,67.3,8695,12922,169125
1009,Girona,ESP-La Liga,2024,42.5,38.6,1591,,70.2,1691,85.4,18273,21401,322614
1010,UD Las Palmas,ESP-La Liga,2024,36.3,33.2,1210,1322,69.2,23.7,78.8,14352,18209,254010
1011,CD Leganés,ESP-La Liga,2024,33.8,26.3,1030,1217,72,28.9,75.5,11207,14840,201808
1012,RCD Mallorca,ESP-La Liga,2024,38.8,30.6,1184,1303,75.2,23.7,77.7,12613,16224,232365
1013,CA Osasuna,ESP-La Liga,2024,37.8,29.8,1221,1218,75.9,23.7,76,12184,16028,230479
1014,Rayo Vallecano,ESP-La Liga,2024,44.6,36.2,1362,1393,74.5,26.3,78,13936,17861,247359
1015,Real Madrid,ESP-La Liga,2024,75.5,54.6,1967,2017,72.2,39.5,88.2,21356,24221,356264
1016,Real Sociedad,ESP-La Liga,2024,39.3,30.9,1284,1580,71.3,18.4,79.3,14880,18759,261975
1017,Sevilla FC,ESP-La Liga,2024,42.7,40.3,1193,1246,66.2,26.3,79.9,14432,18057,252909
1018,Valencia,ESP-La Liga,2024,39.3,30.3,991,1205,67.6,21.1,78.7,13938,17708,246799
1019,Real Valladolid,ESP-La Liga,2024,34.6,25.7,1134,,57.6,991,78.3,12052,15387,228419
1020,Villarreal,ESP-La Liga,2024,59.1,49.7,1522,1522,72,18.4,81.5,14532,17825,262800
1001,Alavés,ESP-La Liga,2023,36.4,27.4,1160,1262,74.1,28.9,71.5,10091,14116,191648
1002,UD Almería,ESP-La Liga,2023,40.7,32.4,1260,1097,72,15.8,77.2,12774,16540,228494
1003,Athletic Club,ESP-La Liga,2023,47.1,34.2,1610,1555,73.1,18.4,77.5,14509,18724,256772
1004,Atlético,ESP-La Liga,2023,57.4,47.4,1694,1838,70.8,34.2,82.4,17064,20709,282535
1005,Barcelona,ESP-La Liga,2023,67.1,53.5,2157,1925,75.7,44.7,86.9,21506,24761,359810
1006,Real Betis,ESP-La Liga,2023,41.7,32.7,1441,1676,74.4,28.9,80.7,15310,18979,256941
1007,Cádiz CF,ESP-La Liga,2023,31.6,20.4,854,1035,69.1,26.3,71.8,10763,14990,202974
1008,Celta de Vigo,ESP-La Liga,2023,50.4,44.9,1665,,71.7,1453,78.1,13890,17776,235944
1009,Getafe,ESP-La Liga,2023,36.9,32.2,1141,1239,71.7,26.3,70.5,10713,15193,207208
1010,Girona,ESP-La Liga,2023,64.6,54,2244,1685,72.1,31.6,85.8,18793,21914,318093
1011,Granada CF,ESP-La Liga,2023,36.4,31.1,944,1174,70.5,7.9,75.9,12127,15976,225286
1012,UD Las Palmas,ESP-La Liga,2023,33.2,23.3,1596,1544,73.1,21.1,83.5,19105,22882,298427
1013,RCD Mallorca,ESP-La Liga,2023,40.5,38.2,1174,1035,74.8,26.3,73.4,11476,15645,218346
1014,CA Osasuna,ESP-La Liga,2023,37.8,28.5,1322,1284,63.8,26.3,74.3,12874,17335,243978
1015,Rayo Vallecano,ESP-La Liga,2023,42.3,32.4,1342,1255,68.9,23.7,76.1,13282,17459,240192
1016,Real Madrid,ESP-La Liga,2023,68.8,65.2,1935,1935,78.8,55.3,88.3,21794,24691,349864
1017,Real Sociedad,ESP-La Liga,2023,44.9,41.8,1414,1414,75.6,39.5,79.3,15263,19249,276751
1018,Sevilla FC,ESP-La Liga,2023,43.3,30.7,1462,1162,72,21.1,78.6,14628,18599,267530
1019,Valencia,ESP-La Liga,2023,43.3,30.7,1416,1343,73.8,34.2,75.3,12233,16255,217671
